journal,random_state,n_neighbors,nr_topics,topics_count,outliers_count,silhouette_score
nejm,566665310,10,auto,224,4073,0.35054156
nejm,1200410087,10,auto,58,3932,-0.4971124
nejm,1800863828,10,auto,216,3975,0.31829557
nejm,2075450847,10,auto,225,4095,0.2995745
nejm,63711961,10,auto,211,4189,0.25701183
nejm,465170490,10,auto,227,3921,0.2528573
nejm,460531274,10,auto,238,3936,0.3068465
nejm,731279872,10,auto,236,3821,0.3222881
nejm,465842467,10,auto,228,4088,0.348629
nejm,1285918173,10,auto,62,3988,-0.46634394
nejm,964363470,10,auto,17,3791,-0.55199283
nejm,249463022,10,auto,204,3968,0.24972898
nejm,1354014545,10,auto,46,3918,-0.45149073
nejm,169880479,10,auto,10,4129,-0.44178042
nejm,1789893976,10,auto,235,3771,0.35877907
nejm,845266966,10,auto,43,4046,-0.5117459
nejm,1323368341,10,auto,237,4127,0.3012957
nejm,2119519323,10,auto,213,4085,0.34494302
nejm,457243686,10,auto,237,3683,0.28815043
nejm,602572313,10,auto,230,3903,0.32694307
nejm,497266113,10,auto,230,4056,0.2931464
nejm,600594922,10,auto,76,4112,-0.46265206
nejm,676141058,10,auto,200,4216,0.20308208
nejm,939607656,10,auto,24,4156,-0.50784636
nejm,908966176,10,auto,11,3800,-0.46879247
nejm,855032792,10,auto,231,3974,0.3419635
nejm,654765445,10,auto,231,4003,0.31091267
nejm,1068989085,10,auto,212,3916,0.3006327
nejm,795814305,10,auto,228,3926,0.32172558
nejm,2077722326,10,auto,227,4129,0.29289776
nejm,1875689891,10,auto,108,4256,-0.30183232
nejm,211962021,10,auto,231,4065,0.31261683
nejm,389952459,10,auto,48,4089,-0.53836614
nejm,856161538,10,auto,240,4058,0.32537943
nejm,1122901011,10,auto,55,3963,-0.5161318
nejm,1489739395,10,auto,205,4024,0.23693657
nejm,1000701871,10,auto,60,4003,-0.50983423
nejm,1858986676,10,auto,240,4110,0.38468182
nejm,649297827,10,auto,5,3961,-0.3160083
nejm,1718818461,10,auto,8,4151,-0.36790138
nejm,347512411,10,auto,243,4019,0.38887003
nejm,1644007363,10,auto,218,3985,0.21844347
nejm,1565999321,10,auto,226,4071,0.25591817
nejm,126057963,10,auto,44,4319,-0.5443382
nejm,162329207,10,auto,210,3896,0.25820085
nejm,1146086019,10,auto,236,3977,0.33186954
nejm,1244039845,10,auto,198,3655,0.22082248
nejm,145659738,10,auto,210,4096,0.20701583
nejm,265444539,10,auto,227,3983,0.3006363
nejm,1643803475,10,auto,227,4137,0.2984324
nejm,479458268,10,auto,223,3994,0.32417688
nejm,144435737,10,auto,229,4179,0.27197534
nejm,525091584,10,auto,233,4261,0.36514416
nejm,1168200555,10,auto,225,4121,0.29388213
nejm,1684771742,10,auto,55,3895,-0.513555
nejm,1746700708,10,auto,226,3890,0.27610016
nejm,1660062677,10,auto,216,3849,0.25110853
nejm,1498031288,10,auto,5,4026,-0.30437586
nejm,682479129,10,auto,49,4030,-0.52042085
nejm,1873889531,10,auto,57,3839,-0.4905016
nejm,1279469951,10,auto,200,4048,0.27706125
nejm,1580137304,10,auto,144,3551,-0.18643801
nejm,1293082575,10,auto,219,3711,0.2724004
nejm,1161119995,10,auto,51,4086,-0.4988065
nejm,244088032,10,auto,57,3681,-0.4977918
nejm,1026240248,10,auto,215,3906,0.2487979
nejm,2007568962,10,auto,224,4154,0.24940959
nejm,938610508,10,auto,61,4059,-0.52261984
nejm,1780405108,10,auto,230,4043,0.274968
nejm,1383458739,10,auto,234,4166,0.34177783
nejm,1938333052,10,auto,53,3789,-0.5212044
nejm,631824238,10,auto,238,4020,0.3356667
nejm,1454541663,10,auto,232,4075,0.3539562
nejm,1996755945,10,auto,81,3803,-0.43506035
