journal,random_state,n_neighbors,nr_topics,topics_count,outliers_count,silhouette_score
nature,1553331963,10,auto,12,76930,-0.4996359
nature,626540508,10,auto,15,76955,-0.5934825
nature,252605831,10,auto,57,75662,-0.72381145
nature,1871561767,10,auto,61,78447,-0.7343286
nature,1171084747,10,auto,30,77365,-0.6758042
nature,1874760770,10,auto,112,77828,-0.74177104
nature,1154122082,10,auto,13,78013,-0.5561958
nature,2136131430,10,auto,31,76802,-0.6453833
nature,965364732,10,auto,15,78906,-0.6040689
nature,1757025162,10,auto,10,77205,-0.50739306
nature,1727042082,10,auto,5,74641,-0.315952
nature,175325077,10,auto,16,77542,-0.5899706
nature,1339979806,10,auto,1365,76516,0.23097214
nature,1551267952,10,auto,40,77775,-0.69066054
nature,1882947239,10,auto,34,76401,-0.6621684
nature,552965935,10,auto,8,76657,-0.4965834
